企業コード,業種,企業名
6902,電気機器,デンソー
6701,電気機器,NEC
6762,電気機器,TDK
6857,電気機器,アドバンテス
7735,電気機器,スクリン
6758,電気機器,ソニー
6981,電気機器,村田製
6976,電気機器,太陽誘電
8035,電気機器,東エレク
6501,電気機器,日立
6971,電気機器,京セラ
6723,電気機器,ルネサス
7752,電気機器,リコー
6503,電気機器,三菱電
6752,電気機器,パナソニックHD
6702,電気機器,富士通
6504,電気機器,富士電機
6952,電気機器,カシオ
6841,電気機器,横河電
6770,電気機器,アルプスアルパイン
6753,電気機器,シャープ
6479,電気機器,ミネベア
6724,電気機器,エプソン
7751,電気機器,キャノン
6594,電気機器,ニデック
6861,電気機器,キーエンス
6645,電気機器,オムロン
6506,電気機器,安川電
6954,電気機器,ファナック
6674,電気電子,GSユアサ
1332,水産,ニッスイ
1605,鉱業,INPEX
1801,建設,大成建
1812,建設,鹿島
1925,建設,ハウス
1803,建設,清水建
1802,建設,大林組
1721,建設,コムシスHD
1928,建設,積ハウス
1963,建設,日揮HD
1808,建設,長谷工
2801,食品,キッコマン
2282,食品,日ハム
2501,食品,アサヒ
2002,食品,日清粉G
2501,食品,サッポロHD
2802,食品,味の素
2269,食品,明治HD
2531,食品,宝HLD
2503,食品,キリンHD
2871,食品,ニチレイ
2914,食品,JT
3401,繊維,帝人
3402,繊維,東レ
3863,パルプ・紙,日本紙
3861,パルプ・紙,王子HD
4452,化学,花王
4901,化学,富士フイルム
6988,化学,日東電
4911,化学,資生堂
4208,化学,UBE
4061,化学,デンカ
3407,化学,旭化成
3405,化学,クラレ
4042,化学,東ソー
4631,化学,DIC
4005,化学,住友化
4188,化学,三菱ケミG
4021,化学,日産化
4004,化学,レゾナック
4043,化学,トクヤマ
4183,化学,三井化学
4063,化学,信越化
4502,医療品,武田
4568,医療品,第一三共
4578,医療品,大塚HD
4519,医療品,中外薬
4507,医療品,塩野義
4151,医療品,協和キリン
4503,医療品,アステラス
4506,医療品,住友ファーマ
4523,医療品,エーザイ
5019,石油,出光興産
5020,石油,ENEOS
5101,ゴム,浜ゴム
5108,ゴム,ブリヂストン
5201,窯業,AGC
5233,窯業,太平洋セメ
5333,窯業,ガイシ
5214,窯業,日電硝
5202,窯業,板硝子
5232,窯業,住友大阪
5301,窯業,東海力
5332,窯業,TOTO
5411,鉄鋼,JFE
5406,鉄鋼,神戸鋼
5401,鉄鋼,日本製鉄
5541,鉄鋼,太平金
5801,日鉄金属製品,古河電
5802,日鉄金属製品,住友電
5714,日鉄金属製品,DOWA
5803,日鉄金属製品,フジクラ
5711,日鉄金属製品,三菱マ
5713,日鉄金属製品,住友鉱
5706,日鉄金属製品,三井金
3436,日鉄金属製品,SUMCO
6326,機械,クボタ
6103,機械,オークマ
6302,機械,住友重
6305,機械,日立建機
6473,機械,ジャイテクト
6471,機械,日清工
5631,機械,日製鋼
6113,機械,アマダ
6367,機械,ダイキン
6472,機械,NTN
7004,機械,日立造
6301,機械,コマツ
7013,機械,IHI
7011,機械,三菱重
6361,機械,荏原
6273,機械,SMC
7003,造船,三井E&S
7012,造船,川重
7267,自動車,ホンダ
7205,自動車,日野自
7270,自動車,SUBARU
7261,自動車,マツダ
7211,自動車,三菱自
7202,自動車,いすゞ
7269,自動車,スズキ
7203,自動車,トヨタ
7272,自動車,ヤマハ発
7201,自動車,日産自
4543,精密機器,テルモ
7741,精密機器,HOYA
7733,精密機器,オリンパス
7762,精密機器,シチズン
4902,精密機器,コニカミノル
7731,精密機器,ニコン
7912,その他製造,大日印
7911,その他製造,凸版
7832,その他製造,バンナムHD
7951,その他製造,ヤマハ
8015,商社,豊田通商
8058,商社,三菱商
8001,商社,伊藤忠
2768,商社,双日
8002,商社,丸紅
8053,商社,住友商
8031,商社,三井物
8267,小売業,イオン
3099,小売業,三越伊勢丹
8233,小売業,高島屋
3086,小売業,Jフロント
8252,小売業,丸井G
3382,小売業,セブン&アイ
9983,小売業,ファストリ
8306,銀行,三菱UFJ
7186,銀行,コンコルディ
8411,銀行,みずほFG
8308,銀行,りそなHD
8331,銀行,千葉銀
5831,銀行,しずおかFG
8304,銀行,あおぞら銀
8354,銀行,ふくおかFG
8309,銀行,三井住友トラ
8316,銀行,三井住友FG
8601,証券,大和
8604,証券,野村
8628,証券,松井
8766,保険,東京海上
8795,保険,T&D
8725,保険,MS&AD
8750,保険,第一生命HD
