理論,内容,アドバイス
損失回避性,人々は同じ金額の利益よりも損失を避けることをより重視する傾向があります。つまり、失うことへの恐怖は得ることの喜びよりも強い,損失への恐怖により、早まって売却することを避けるため、ポートフォリオのリバランスを定期的に行うことを推奨します。
アンカリング効果,最初に提示された情報（アンカーとして）が、後の判断や決定に影響を与える現象,最初の情報に固執せず、定期的に新しい情報とデータを評価し、判断を更新することが重要です。
感応度逓減性,大きな価値変動の初めの部分に対する感度が、それに続く変動よりも高いこと。例：$100を失うことへの痛みは、$200を失うことへの追加の痛みよりも大きい。,すべての損失を同等に評価し、感情に基づいて取引を避けるよう努力することを推奨します。
現在志向バイアス,現在の報酬を未来の報酬よりも過度に評価する傾向。,長期的な投資目標を設定し、短期的な誘惑から目をそらすことが重要です。
ブレークイーブン効果,人々が損失を回収しようとして過度にリスクを取る傾向。,損失を取り戻すための取引は避け、冷静な判断で行動することを推奨します。
確証バイアス,自分の既存の信念や考えを確認する情報を探し、それに重点を置き、矛盾する情報を無視する傾向,さまざまな情報源からの意見やデータを検討することで、偏見を緩和することが重要です。
ハロー効果,ある特性が人に良い印象を与えると、他の特性についても肯定的に評価する傾向,投資先を選択する際、総合的な評価を行い、単一の良い特性に固執しないことが重要です。
自信過剰,自分の知識や能力を過大に評価すること。,定期的に自分の判断を再評価し、外部の専門家の意見を求めることを考慮することが重要です。
テンションリダクション効果,緊張や不安がなくなった後は、注意力が散漫になること,投資判断は冷静な状態で行い、緊張後の行動を避けることを推奨します。
権威への服従,権威がある人物の発言は正しいと思ってしまう心理,権威者の意見を参考にはするが、独自のリサーチと分析を行うことが重要です。
代表性ヒューリスティクス,短期的なパフォーマンスや最近の情報を基に、その投資の将来のパフォーマンスを予測すること,短期のパフォーマンスに基づく投資判断は避け、より広範なデータとトレンドを考慮することを推奨します。
ヒューリスティック,自分の思いつきやすいこと、わかりやすいことは起こりやすいと勘違いしてしまうこと,多様な情報源を使用して、独自のリサーチを実施することが重要です。
認知的不協和の解消,自分の都合のいい解釈をして平穏を保とうとする,矛盾する情報を受け入れ、自分の信念や戦略を再評価することが重要です。
バンドワゴン効果,多くの人々が何かをしているのを見ると、他の人々もそれに従う傾向。,多数派の意見に盲目的に従わず、独自のリサーチと分析に基づいて判断を下すことが重要です。
ピークエンド効果,経験全体ではなく、そのピーク（最も強い感情的体験）と終わりの部分に基づいて経験を評価する傾向。,投資の経験全体を考慮し、短期的なピークやトラフに振り回されないよう努力することが重要です。
