行動型,特徴,欠点,アドバイス
保守型,低い運用成績（リスク回避の結果）、高い誠実性、適応性、低い開放性、投資銘柄の決定根拠は安定性や信頼性に重きを置く。,過度に安全志向で、高収益の機会を逃す可能性。,全ての投資にはリスクが伴いますが、適度なリスクを取ることで収益のチャンスを増やすことができます。ポートフォリオのバランスを見直し、リスク許容度に合わせた多様化を図ることを検討してください。
リサーチ主導型,開放性が高く、1年間の運用成績が平均的である。データと研究に基づいて投資決定を行い、しっかりとした理論と研究によって銘柄選択を行います。,情報収集に過度に時間をかけすぎ、決断の遅延やパラリシスバイアナリシス（分析麻痺）を引き起こす可能性。,情報収集と分析は大切ですが、実際の投資決定に移るタイミングを逃さないようにしましょう。定期的に自分の分析過程を見直し、効率的な方法を模索してください。
積極型,高い運用成績（リスクを取ることで高いリターンを追求）、高い開放性と外向性、低い適応性、投資銘柄の決定根拠は市場のトレンドや新興のセクターに基づく。,高いリスクを取りすぎることで、大きな損失を被る可能性,高リスクな投資には高いリターンが期待されますが、ポートフォリオ全体のリスクを適切に管理することが重要です。リスク管理の方法を学び、適切なヘッジ戦略を考慮してください。
感情主導型,神経症的傾向が高く、運用成績が安定していない（市場の変動に過剰反応する可能性がある）。投資銘柄の決定根拠は感情や直感に基づく。,感情に基づいて衝動的な投資決定をする可能性。,投資の決定を下す前に一歩引いて冷静に判断する習慣を身につけることが重要です。感情を取り除くための方法やツール、例えばチェックリストを使用して、感情から距離を置いた決定を行うことを検討してください。
テクニカル,高い開放性と外向性を持つ。運用成績は短期的な変動に影響されやすい。投資銘柄の決定根拠は株価のパターンや市場の動向、テクニカル分析に基づく。,過去中心の分析、過剰な情報、ファンダメンタルの無視,短期的な動きだけでなく、中期・長期的なチャートも参照することで、市場の全体像を掴むことができます。また、ファンダメンタル分析の結果も併用することで、よりバランスの取れた投資判断を下すことができます。
社会的影響型,高い開放性と誠実性を持つ。運用成績は二次的な考慮事項であり、彼らは主に社会的または環境的な影響を持つ投資を探している。投資銘柄の決定根拠は社会的・環境的な影響と持続可能性に基づく。,他者の意見や市場の一般的な感情に影響されやすい。,他者の意見や市場の感情は参考情報としては有用ですが、自分自身の研究と分析に基づいた投資戦略を持つことが重要です。他者の意見を盲目的に追随するのではなく、自分の判断と照らし合わせて判断してください。
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
